Title,Sale price,Merchant,Division,Category,Sub category,Artice type,Fabric,Occasion,Pattern,Image URL
Clifton Women's Printed Long Top Night Wear -Pista -I Love Family -M,499,paytm,clothing & accessories,lingerie & nightwear,nightwear,Nightwear & Nighties,,1,graphic print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPCLIFTON-WOMECLIF20094AEA7A22D/0..jpg
Slub Men's T-shirt,899,paytm,clothing & accessories,t-shirts & polos,t-shirts,Tshirts,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPSLUB-MEN-S-TINMA354373F528B47/0..jpg
KILLER Men's Jackets,5199,paytm,clothing & accessories,jackets & gilets,jackets,Jackets,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPKILLER-MEN-SKKCL529373CB036933/0..jpg
KRAUS Womens Front Open Perforated Shrug,1499,shoppersstop,clothing & accessories,western wear,sweaters,Westernwear,,1,,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/2F47AEB7CD034A8184CF2F2BF4B115CE/203830175_9101_2F47AEB7CD034A8184CF2F2BF4B115CE.jpg
Selfcare Off-White Thermal Lower For Women (Size-S),599,paytm,clothing & accessories,lingerie & nightwear,lingerie & underwear,Thermals,,1,,https://assetscdn.paytm.com/images/catalog/product/W/WT/WTHRML0000SW0013SCWTSS/2.jpg
Varanga Orange Cotton Printed Kurta With Palazzo,4299,paytm,clothing & accessories,2 wear,kurtas,Stitched Suits,,1,printed,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPVARANGA-ORANKESH3614633598FFD/0..jpg
Octave Men's Cotton T-Shirt,299,paytm,clothing & accessories,t-shirts & polos,t-shirts,Tshirts,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPOCTAVE-MEN-SOCTA100221BA267F48/0..jpg
ISHIN Womens Bhagalpuri Art Silk Printed Saree - Set of 2,3999,shoppersstop,clothing & accessories,2 wear,sarees,Indianwear,silk,1,,https://sslimages5.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/97D371FD5EE04B9185B6CDA037C046F6/203260382_7086_97D371FD5EE04B9185B6CDA037C046F6.jpg
Wonderkids Cat Patch Nevy Blue & Red kids Cap With Ears (1-3 Years),299,paytm,clothing & accessories,baby,baby boys 0-24m,Clothing for Boys,,1,,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDWONDERKIDS-CWOND21724B44095E2/1..jpg
Vastramay Blue Cotton Kurta,1499,paytm,clothing & accessories,2 wear,kurtas,Kurtas,,1,printed,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPVASTRAMAY-BLVAST565247507DDB2/1..jpg
Womens Cowl Neck Solid Top,1499,shoppersstop,clothing & accessories,western wear,"shirts, tops & tees",Tops & Tees,,1,2,https://sslimages5.shoppersstop.com/sys-master/images/h5e/hbe/9568701612062/201639959_9667.jpg_230Wx334H
Ansh Fashion Wear Men's Casual Wear Chinos With Free Assorted Colour Socks,1699,paytm,clothing & accessories,jeans,jeans,Casual Trousers,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPANSH-FASHIONANSH6768787E5FADC/1..jpg
Aujjessa Beige Green Asymmetrical Kurta,1299,paytm,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,,1,printed,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPAUJJESSA-BEIAUJJ5826613333D944/1..jpg
Laser Premium Checkered Boxer for Men - Pack of 3,1299,paytm,clothing & accessories,innerwear,boxers,Boxers,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPLASER-PREMIUBEST29070545E9CD/1..jpg
ROCX Mens Grey Colour Short Contrast Waistband,1099,paytm,clothing & accessories,sportswear,shorts,Shorts,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPROCX-MENS-GRSREE117501AB8DE523/1..jpg
Rama Embroidered Design Green Color Anarkali Kurti With Red Legging & Dupatta Set,2999,paytm,clothing & accessories,2 wear,salwar suit sets,Stitched Suits,,1,embroidered,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPRAMA-EMBROIDRAMA208577AD9B290D/1..jpg
IndiWeaves Girl's Cotton T-Shirts Combo 3 (Pack of 3 T-Shirt),1150,paytm,clothing & accessories,tops & tees,tops & tees,Clothing for Girls,,1,,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDINDIWEAVES-GINDI2021244562D9D/1..jpg
IndiWeaves Girls Premium Cotton Warm Wollen Full Length Lower/Track Pant with 2 Open Pocket For Winter _Maroon_2-3 Years,698,paytm,clothing & accessories,sleepwear & robes,sleepwear & robes,Winter Wear for Girls & Boys,,1,2,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDINDIWEAVES-GINDI202128A605713/1..jpg
Blue Wave Black Red checkered Casual Shorts for Men,599,paytm,clothing & accessories,shorts,shorts,Shorts,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPBLUE-WAVE-BLSUSH511075D58DD63/1..jpg
Indiweaves Multicolour Boy's Cotton T-Shirts (Pack of 2),1298,paytm,clothing & accessories,tops & tees,t-shirts,Boys Tshirt,,1,2,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDINDIWEAVES-MINDI20212C6811AC9/0..jpg
Jack & Jones GREY  Slim Fit Tshirts,1295,paytm,clothing & accessories,shirts,1 shirts,Tshirts,,1,printed,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS78002D627C59D/3.jpg
GLOBAL DESI Women Front Open Style Shrug,1499,shoppersstop,clothing & accessories,western wear,sweaters,Westernwear,5,1,2,https://sslimages4.shoppersstop.com/sys-master/images/hae/h7d/9872753557534/202297345_9309.jpg_230Wx334H
Laser Premium Checkered Boxer for Men - Pack of 2,949,paytm,clothing & accessories,innerwear,boxers,Boxers,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPLASER-PREMIUBEST29070EA8294F2/1..jpg
Green Printed Skater dress,2299,paytm,clothing & accessories,western wear,dresses,Dresses,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPGREEN-PRINTEEAVA239592981B61/1..jpg
MARIE CLAIRE Womens Band Neck Self Pattern Top,1499,shoppersstop,shoes & handbags,handbags & clutches,sling & cross-body bags,Westernwear,4,1,,https://sslimages.shoppersstop.com/sys-master/images/h8c/hda/9890971680798/202409112_9212.jpg_230Wx334H
Diaz Multi Color Cotton Lycra Capris,1099,snapdeal,clothing & accessories,western wear,pants & capris,Pants & Capris,5,1,,http://n1.sdlcdn.com/imgs/b/1/5/230x258/Diaz-Multi-Color-Cotton-Capris-SDL893914626-1-6aae8.jpg
Ansh Fashion Wear Men's Cotton Lycra Strechable Denim,1349,paytm,clothing & accessories,jeans,jeans,Jeans,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPANSH-FASHIONANSH67687A6611056/1..jpg
THE VANCA Womens Round Neck Printed Maxi Top,1399,shoppersstop,clothing & accessories,western wear,dresses,Westernwear,crepe,1,printed,https://sslimages4.shoppersstop.com/sys-master/images/h9e/h00/9873576820766/202399013_9506.jpg_230Wx334H
Good Boy Boy's Drees 100% Cotton (gb1278_green_4),1740,paytm,clothing & accessories,baby,baby boys 0-24m,Clothing for Boys,,1,,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDGOOD-BOY-BOYNSV-27891A203EA8F/0..jpg
Shoe Island Men's Synthetic Leather Loafers - Brown,1199,homeshop18,shoes & handbags,shoes,men's shoes,Loafers,,1,,http://stat.homeshop18.com/homeshop18/images/productImages/574/shoe-island-mens-synthetic-leather-loafers-brown-medium_6275921039df3fda15feefd4b255b4e4.jpg
Ansh Fashion Wear Men's Casual Wear With Free Pack Of 3 Accessories Watch Sunglass & Cardholder,2199,paytm,clothing & accessories,accessories,accessories,Casual Trousers,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPANSH-FASHIONANSH67687F5647347/1..jpg
Vero Moda Women Yellow 1 Tops,2695,paytm,clothing & accessories,western wear,"shirts, tops & tees",Tops & Tunics,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPVERO-MODA-WOKAPS780029477FDB/1..jpg
Parx Men Blue Cotton Slim Fit Jeans,2399,paytm,clothing & accessories,jeans,jeans,Jeans,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPPARX-MEN-BLURAYM6028249A9BE6E1/0..jpg
Ansh Fashion Wear Men's Casual Wear Chinos With Free Stylish Watch,1699,paytm,clothing & accessories,jeans,jeans,Casual Trousers,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPANSH-FASHIONANSH676873C566FD2/1..jpg
Pink & Blue Solid Girl's Shorts,99,paytm,clothing & accessories,baby,baby girls 0-24m,Clothing for Girls,,1,,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDPINK-BLUE-SOBIG-3233933B6E8324/14.jpg
IndiWeaves Boys Premium Cotton Full Length Lower with 2 Open Pocket(Pack of 2),1450,paytm,clothing & accessories,sportswear,trousers,Clothing for Boys,,1,plain,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDINDIWEAVES-BINDI20212448BC1/1..jpg
SHREE Womens Cotton Skirt,999,shoppersstop,clothing & accessories,2 wear,dress material,Westernwear,5,1,,https://sslimages3.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/A3B269D77F7A460DA6935607D131C25F/203377809_9308_A3B269D77F7A460DA6935607D131C25F.jpg
ZINK LONDON Womens Round Neck Check Asymmetrical Top,1499,shoppersstop,clothing & accessories,western wear,dresses,Westernwear,1,1,checkered,https://sslimages5.shoppersstop.com/sys-master/images/hef/hc4/9595316797470/201798339_9407.jpg_230Wx334H
TRESMODE Mens Casual Wear Slippers,3000,shoppersstop,shoes & handbags,shoes,men's shoes,Shoes,,1,,https://sslimages5.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/CE7FEFB108064BDB80076C0D4E5538E5/203135024_9212_CE7FEFB108064BDB80076C0D4E5538E5.jpg
CANDYSKIN Womens Padded Underwired Balconette Bra,1999,shoppersstop,clothing & accessories,lingerie & nightwear,lingerie & underwear,Lingerie & Nightwear,nylon,1,,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/BD5333EA809B409391BCCBDF9C3396B5/203576979_9111_BD5333EA809B409391BCCBDF9C3396B5.jpg
IMARA Womens Round Neck Slub Kurta,1499,shoppersstop,clothing & accessories,2 wear,kurtas,Indianwear,,1,,https://sslimages5.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/E5E4082CAE4942ADA44A12BD14F00B91/203080365_9212_E5E4082CAE4942ADA44A12BD14F00B91.jpg
Duke Stardust Grey Denim Jeans,2225,paytm,clothing & accessories,jeans,jeans,Jeans,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPDUKE-STARDUSE-SH34070B592FA47/0..jpg
EIMOIE Girls Printed Dress With Legging (Peach Black),999,paytm,clothing & accessories,baby,baby girls 0-24m,Clothing for Girls,,1,printed,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDEIMOIE-GIRLSL-C-6246262A30253/1..jpg
Yepme Vanya Printed Kurti - Green & Orange,999,paytm,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,,1,printed,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPYEPME-VANYA-YEPM20088C692E8CD/1..jpg
Ed Hardy Men's Casual Solid Jean,3999,paytm,clothing & accessories,jeans,jeans,Jeans,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPED-HARDY-MENKAPS57849099EE77A9/1..jpg
Ansh Fashion Wear Women's Denim Lycra And Cotton Blend 2cm Chinos,2444,paytm,clothing & accessories,western wear,trousers,Trousers,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPANSH-FASHIONANSH67687825A3C1F/1..jpg
Saarah Red Lehenga Choli Set (emp3177),2300,paytm,clothing & accessories,2 wear,lehenga cholis,Ethnic Wear for Girls & Boys,,1,,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDSAARAH-RED-LEMAL3516547CDAE5A/0..jpg
BODYCARE Stretchable 3 Pcs White-Moss-Bubble Gum Ankle Length Legging Combo,1005,paytm,clothing & accessories,western wear,leggings,Leggings,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPBODYCARE-STRBODY16561445F978FF/1..jpg
Clifton Womens Small Stripes Comfort Capri-Royal Blue -M,399,paytm,clothing & accessories,western wear,pants & capris,Shorts,,1,striped,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPCLIFTON-WOMECLIF20094582CB027/0..jpg
IndiWeaves Girls Cotton Full Sleeve Printed T-Shirt (Pack of 6),2398,paytm,clothing & accessories,tops & tees,t-shirts,Clothing for Girls,,1,printed,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDINDIWEAVES-GINDI20212DF3BFA17/1..jpg
Hardy's Collection Wollen kurti for women,1599,paytm,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPHARDY-S-COLLHARD113304841C861C/0..jpg
Ansh Fashion Wear Men's Casual Wear Chinos With Free Stylish Cardholder,1699,paytm,clothing & accessories,jeans,jeans,Casual Trousers,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPANSH-FASHIONANSH67687305CBE89/1..jpg
Crazeis Cotton Frocks For Girls,1998,paytm,clothing & accessories,dresses,dresses,Clothing for Girls,,1,,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDCRAZEIS-COTTKPM-55302227A36B8/1..jpg
STOP Womens Round Neck Stripe Sweater,999,shoppersstop,clothing & accessories,western wear,sweaters,Westernwear,,1,striped,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/E63B16FBAE7941DFA1CA19D77BFD1CE9/203462359_9100_E63B16FBAE7941DFA1CA19D77BFD1CE9.jpg
Bella Moda Casual Cotton Dress(Pack Of 2),2547,paytm,clothing & accessories,dresses,dresses,Clothing for Girls,,1,,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDBELLA-MODA-CBELL293836780F366/0..jpg
Aurro Sports Green Solid Boy's T Shirts,599,paytm,clothing & accessories,tops & tees,t-shirts,Clothing for Boys,,1,2,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDAURRO-SPORTSAURR36088789C8C5E/1..jpg
United Colors of Benetton Men White Shorts,2599,paytm,clothing & accessories,shorts,shorts,Sports Shorts & 3/4ths,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPUNITED-COLORPANC3145797D6CFD/1..jpg
Indiweaves Multicolour Boy's Cotton T-Shirts (Pack of 2),1298,paytm,clothing & accessories,tops & tees,t-shirts,Boys Tshirt,,1,2,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDINDIWEAVES-MINDI202129B6ECBBD/0..jpg
Womens Printed Tunic,1399,shoppersstop,clothing & accessories,western wear,"shirts, tops & tees",Tops & Tees,viscose,1,printed,https://sslimages3.shoppersstop.com/sys-master/images/h79/h43/9802213097502/202109007_9804.jpg_230Wx334H
Crazeis Cotton Frocks For Girls,1998,paytm,clothing & accessories,dresses,dresses,Girls Frocks and Dresses,,1,,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDCRAZEIS-COTTKPM-55302878C8FAD/1..jpg
RHESON Women Norhesonicant Tee,799,shoppersstop,clothing & accessories,western wear,"tops, tees & shirts",Westernwear,viscose,1,printed,https://sslimages3.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/A13ECB0CFEBD4ADD95C5672D69079BF8/203114758_9654_A13ECB0CFEBD4ADD95C5672D69079BF8.jpg
LABEL RITU KUMAR Womens Collared Neck,3100,shoppersstop,clothing & accessories,western wear,dresses,Westernwear,2,1,printed,https://sslimages2.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/A153F066A61C4C45BC8F74EB362FC675/202372633_9308_A153F066A61C4C45BC8F74EB362FC675.jpg
Van Heusen Yellow Top,1695,paytm,clothing & accessories,western wear,"shirts, tops & tees",T-shirts & Tank Tops,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPVAN-HEUSEN-YTREN5099665B86409/1..jpg
HAIG-DOT Cotton Half Sleeves Tshirts for Boys (Pack of 2),1949,paytm,clothing & accessories,tops & tees,t-shirts,Clothing for Boys,,1,printed,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDHAIG-DOT-COTHAIG314005C21C4794/0..jpg
Ishin Pure Cambric Cotton Black Printed Party Wear Wedding Wear Casual Daily Wear Office Wear Festive Wear Bollywood New Collection Latest Design Trendy Women's Unstitched Kurti/Kurta Fabric,1799,paytm,clothing & accessories,2 wear,dress material,Dress Material,,1,printed,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPISHIN-PURE-CISHI20091AE7F04E2/0..jpg
KILLER Men's Skinny Fit Jeans,3399,paytm,clothing & accessories,jeans,jeans,Jeans,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPKILLER-MEN-SK-LO6181323A99DB0A/0.jpg
ONLY Women Causal Shirt,1695,paytm,clothing & accessories,western wear,"shirts, tops & tees",Shirts,,1,printed,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPONLY-WOMEN-CKAPS78002234DFA52/1..jpg
HengSong Women Long Sleeved Stitching Sweatshirts,2376,paytm,clothing & accessories,western wear,sweatshirts & hoodies,Sweatshirts & Hoodies,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPHENGSONG-WOMPOPC728622D51D783D/0..jpg
GIORDANO Womens Casual Wear Metallic Lock Closure Sling Clutch,5290,shoppersstop,shoes & handbags,handbags & clutches,clutches,Accessories,,1,,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/B7A874BF2D594FE59D1AE08C28BD3B26/203129151_9212_B7A874BF2D594FE59D1AE08C28BD3B26.jpg
Status Quo Men's OLIVE Jacket,4799,paytm,clothing & accessories,jackets & gilets,jackets,Jackets,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPSTATUS-QUO-MSTAT285849E882373F/1..jpg
Swanvi Women's Stitched Multi-Color Salwar Suit with Dupatta,2699,paytm,clothing & accessories,2 wear,salwar suit sets,Stitched Suits,,1,printed,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPSWANVI-WOMENSWAN44999BB6E0202/0..jpg
Pepe Jeans Women Denim Jean,2399,paytm,clothing & accessories,jeans,jeans,Jeans & Jeggings,,1,plain,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPPEPE-JEANS-WKAPS578490FF3FF8FE/0..jpg
Jevi Prints - Combo of 3 Unstitched Women's Cotton Printed Kurti Fabrics (Fabrics Only for Top),3295,paytm,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPJEVI-PRINTS-JEVI22145EF5A6438/0..jpg
Tulip Rayon Regular Tops,1599,snapdeal,clothing & accessories,western wear,"shirts, tops & tees",Tops & Tunics,3,1,,http://n1.sdlcdn.com/imgs/e/8/2/230x258/Tulip-Rayon-Regular-Tops-SDL270173688-1-2baec.jpg
AURELIA Womens Solid Pants,999,shoppersstop,clothing & accessories,2 wear,bottoms,Westernwear,,1,,https://sslimages1.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/7711F28EC8884250B5ACED13D56D15CC/203639805_9101_7711F28EC8884250B5ACED13D56D15CC.jpg
American-Elm Women's Printed Skirts Pack of 2,1798,paytm,clothing & accessories,western wear,pants & capris,Skirts,,1,printed,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPAMERICAN-ELMMADH44741B0DB9254/1..jpg
Varanga Mustard Printed Rayon Mandarin Collar 3/4 Sleeves A Line Kurta With Palazzo,4099,paytm,clothing & accessories,2 wear,kurtas,Stitched Suits,,1,1 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPVARANGA-MUSTKESH3614652A406F6/0..jpg
Women's Cotton shrugs(Pack of 2),1999,paytm,clothing & accessories,western wear,sweaters,shrugs and summer jackets,,1,1 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPWOMEN-S-COTTMANJ375078EACEF71/1..jpg
Women Polyester Dress,2199,shoppersstop,clothing & accessories,western wear,dresses,Dresses,1,1,,https://sslimages3.shoppersstop.com/sys-master/images/h30/h6f/9725064249374/201996445_9607.jpg_230Wx334H
MAYRA PARTY WAER SHIRT,995,paytm,clothing & accessories,western wear,"shirts, tops & tees",Shirts,,1,printed,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPMAYRA-PARTY-GAUR3044356F27982/1..jpg
Womens V Neck Solid Sweater,1649,shoppersstop,clothing & accessories,western wear,sweaters,Winterwear,,1,2,https://sslimages4.shoppersstop.com/sys-master/images/hee/h36/9595440005150/201798277_9324.jpg_230Wx334H
Kothari boys  Hooded  Sweatshirts,2199,paytm,clothing & accessories,sweatshirts & hoodies,sweatshirts,Winter Wear for Girls & Boys,,1,printed,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDKOTHARI-BOYSKOTH3819990289510/1..jpg
White Moon Boys Printed Vest - Pack of 4,1149,paytm,clothing & accessories,tops & tees,t-shirts,Clothing for Infants,,1,graphic print,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDWHITE-MOON-BBELM162302DCCD61E/1..jpg
U.S. POLO ASSN. Womens V Neck Solid Sweater,1599,shoppersstop,clothing & accessories,western wear,sweaters,Westernwear,,1,2,https://sslimages3.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/FEB975DBD7504F1CB3F98FFA4C8CE79B/203391360_9308_FEB975DBD7504F1CB3F98FFA4C8CE79B.jpg
BIBA Womens Round Neck Floral Print Kurta,1299,shoppersstop,clothing & accessories,2 wear,kurtas,Indianwear,,1,,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/8DF805657DAC435595D61E85BDCE71D9/204089773_9101_8DF805657DAC435595D61E85BDCE71D9.jpg
Vimal Multicolor Cotton Blended Capris For Women(pack Of 2),2200,paytm,clothing & accessories,western wear,pants & capris,Shorts & Capris,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPVIMAL-MULTICMACK539611BA7EDA9/1..jpg
2 Pack Combo Men's Hooded Sweatshirt (navy Blue;Red Color),1986,paytm,clothing & accessories,western wear,sweaters,Sweatshirts & Hoodies,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APP2-PACK-COMBO99TS23249F16A3FC9/0..jpg
Madona Multi Color Blended Leggings Pack Of 3,899,paytm,clothing & accessories,western wear,pants & capris,Shorts & Capris,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPMADONA-MULTIBEST29070FB6EEF01/1.jpg
SOIE Womens Round Neck Embroidered Top,1390,shoppersstop,clothing & accessories,western wear,"shirts, tops & tees",Westernwear,4,1,embroidered,https://sslimages2.shoppersstop.com/sys-master/images/haf/h9d/9811790495774/202349192_9101.jpg_230Wx334H
FUSION BEATS Womens Slim Fit Stripe Kurta,2399,shoppersstop,clothing & accessories,western wear,dresses,Indianwear,5,1,,https://sslimages5.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/18E8604A5A14445485C5D05029AB9F37/203479153_9557_18E8604A5A14445485C5D05029AB9F37.jpg
MINI KLUB SHORT LENGTH BOTTOMS,899,paytm,clothing & accessories,baby,baby boys 0-24m,Clothing for Infants,,1,,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDMINI-KLUB-SHFS-M2783294D48CC7/0..jpg
Mayra Grey Crepe Top,995,paytm,clothing & accessories,western wear,"shirts, tops & tees",Tops & Tunics,,1,printed,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPTOPGAUR3044346C59CF3/1.jpg
"Clifton Boys Printed T-Shirt ( Assorted Color ,Set Content 1 )",399,paytm,clothing & accessories,tops & tees,t-shirts,Boys Tshirt,,1,plain,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDCLIFTON-BOYSCLIF2009469F1F4FB/1..jpg
ShopperTree Boys Printed Capri,899,paytm,clothing & accessories,baby,baby boys 0-24m,Clothing for Boys,,1,printed,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDSHOPPERTREE-SHOP2618458C39A0A/0..jpg
Clifton Boys Printed Ribbed T-Shirts Full Sleeve V-Neck-Black-What Ever It Is,399,paytm,clothing & accessories,tops & tees,t-shirts,Boys Tshirt,,1,graphic print,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDCLIFTON-BOYSCLIF2009446B59EA8/1..jpg
IndiWeaves Girls Cotton Full Sleeve Printed T-Shirt (Pack of 7),2898,paytm,clothing & accessories,tops & tees,tops & tees,Clothing for Girls,,1,printed,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDINDIWEAVES-GINDI202127748DE5/1..jpg
Jack & Jones Grey Slim Fit T-shirt,1999,paytm,clothing & accessories,shirts,1 shirts,Tshirts,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-GKAPS7800284848EDE/0..jpg
Vero Moda Women Solid Casual Sweater,2295,paytm,clothing & accessories,western wear,sweaters,Sweaters & Pullovers,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPVERO-MODA-WOKAPS78002D48A1CA4/0..jpg
Adine Analog Wrist Watch For Men_Ad52011sbk - Black,999,naaptol,watches,accessories,watchbands,Men Watches,,1,,https://images.naptol.com/usr/local/csp/staticContent/product_images/horizontal/185x185/rs27-4.jpg
Fascinating Lingerie Synthetic Muslim Swimwear/Burkini,3499,snapdeal,clothing & accessories,swim,cover-ups & sarongs,"Beach Dresses, Sarongs & More",synthetic,1,,http://n1.sdlcdn.com/imgs/d/9/r/230x258/Fascinating-Lingerie-Synthetic-Muslim-Swimwear-SDL340449866-1-d07cb.jpg
MISS CHASE Womens Round Neck Striped Top,999,shoppersstop,clothing & accessories,western wear,"tops, tees & shirts",Westernwear,jersey,1,striped,https://sslimages2.shoppersstop.com/sys-master/images/h0e/h22/9964126994462/202514970_7086.jpg_230Wx334H
Masha Cotton Nighty & Night Gowns,849,snapdeal,clothing & accessories,lingerie & nightwear,nightwear,Nightwear,5,1,,http://n1.sdlcdn.com/imgs/f/o/0/230x258/Masha-Cotton-Nighty-Night-Gowns-SDL040549252-1-5519f.jpg
Cattleya Printed 3/4 Sleeves Green Short Women Kurti,999,paytm,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,,1,printed,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPCATTLEYA-PRICATT33800688FAD724/1..jpg
Tops & Tunics Women Maroon Kazo,1990,paytm,clothing & accessories,western wear,"shirts, tops & tees",Tops & Tunics,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPTOPS-TUNICS-M-S-36767453CB90CB/0..jpg
Gkidz Pack Of 4 Infants Multicolor Bermudas,1799,paytm,clothing & accessories,baby,baby,Clothing for Infants,,1,2,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDGKIDZ-PACK-OGOOD20774F8549ABA/1..jpg
LEE COOPER Mens Leather Lace Up Boots,3199,shoppersstop,shoes & handbags,shoes,men's shoes,Shoes,,1,,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/3537D9A422204F448F2D2CC151B698BB/203231846_9124_3537D9A422204F448F2D2CC151B698BB.jpg
Clifton Boys Printed Ribbed T-Shirts Half Sleeve R-Neck-Charcoal Melange-We Made It Friday,299,paytm,clothing & accessories,tops & tees,t-shirts,Boys Tshirt,,1,graphic print,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDCLIFTON-BOYSCLIF20094D6E8738B/1..jpg
