Title,Sale price,Merchant,Division,Category,Sub category,Artice type,Fabric,Occasion,Pattern,Image URL
2go Electric Blue Print Half Sleeves T-shirt,899,paytm,clothing & accessories,sportswear,sportswear,Active T-shirts,,1,3 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APP2GO-ELECTRICBRAN6823586B78589/0..jpg
"AJS Paisley, Geometric Print, Digital Prints, Printed Fashion Art Silk, Silk Saree(Orange)",1999,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/j7td5e80/sari/b/s/n/free-zohra5647a-ajs-original-imaexn6sstzywtgv.jpeg?q=90
White Round Neck T-Shirt,2895,jabong,clothing & accessories,t-shirts & polos,t-shirts,Polos & Tees,5,,3 print,http://static4.jassets.com/p/Nike-White-Round-Neck-T-Shirt-7570-492347003-1-catalog_m.jpg
White Polo T-Shirt,1999,jabong,clothing & accessories,t-shirts & polos,polos,Polos & Tees,5,,3 print,http://static1.jassets.com/p/ColorPlus-White-Printed-Polo-T-Shirt-7395-025888003-1-catalog_m.jpg
Off White Regular Fit Casual Shirt,1049,jabong,clothing & accessories,shirts,1 shirts,Shirts,,,3 print,http://static2.jassets.com/p/Lee-Cooper-Off-White-Regular-Fit-Casual-Shirt-4485-212709003-1-catalog_m.jpg
Blue Printed Slim Fit Shorts,1799,jabong,clothing & accessories,shorts,shorts,Shorts & 3/4ths,5,,3 print,http://static3.jassets.com/p/Allen-Solly-Navy-Blue-Printed-Slim-Fit-Shorts-5912-936327003-1-catalog_m.jpg
Blue Custom Regular Fit Self Design Formal Shirt,2499,jabong,clothing & accessories,shirts,formal shirts,Formal Shirts,,,3 print,http://static1.jassets.com/p/Van-Heusen-Blue-Custom-Regular-Fit-Self-Design-Formal-Shirt-8591-279169003-1-catalog_m.jpg
"AJS Paisley, Geometric Print, Striped, Printed Fashion Crepe Saree(Multicolor)",1999,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/sari/t/v/z/na-na-sg-358-ajs-original-imaejyrgc25nezcy.jpeg?q=90
"Bravezi Men's Printed, Geometric Print, Self Design Casual Black Shirt",1395,flipkart,clothing & accessories,shirts,1 shirts,Casual & Party Wear Shirts,,,3 print,https://rukminim1.flixcart.com/image/200/200/shirt/a/u/f/bzs706b-bravezi-42-original-imaehwcgmq94hehz.jpeg?q=90
Black Printed Polo T-shirt,1799,jabong,clothing & accessories,t-shirts & polos,polos,Polos & Tees,5,,3 print,http://static4.jassets.com/p/Allen-Solly-Black-Printed-Regular-Fit-Polo-T-Shirt-9321-904547003-1-catalog_m.jpg
La firangi black knee length full sleeves stand collar kurta,1299,paytm,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,,1,3 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPLA-FIRANGI-BLA-F31221E0076E3A/6.jpg
"AJS Applique, Geometric Print, Printed Fashion Art Silk, Silk Saree(Multicolor)",2999,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/j77xjm80/sari/v/h/g/free-5487c-sgm-original-imaexekpr2fpwcqa.jpeg?q=90
"AJS Paisley, Floral Print, Geometric Print, Striped, Printed Fashion Crepe Saree(Multicolor)",1999,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,1 print,https://rukminim1.flixcart.com/image/200/200/sari/h/z/r/na-na-sg-343-ajs-original-imaejyr9y6hjxxsn.jpeg?q=90
"Ratnavati Printed, Geometric Print, Digital Prints Bollywood Crepe Saree(Yellow)",2999,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/j80icnk0/sari/n/f/k/free-crp10014-mrinalika-fashion-original-imaex9m9zza4wwxj.jpeg?q=90
"AJS Paisley, Self Design, Embellished, Geometric Print, Printed Fashion Art Silk Saree(Multicolor)",3999,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,embellished,https://rukminim1.flixcart.com/image/200/200/sari/7/a/c/1-1-ajs-paisley-self-design-embellished-3-print-printed-original-imaeafjkcny7zkqg.jpeg?q=90
Red Textured Round Neck Sweater,1399,jabong,clothing & accessories,sweaters,sweaters,Sweaters,5,,3 print,http://static1.jassets.com/p/Moda-Rapido-Red-Textured-Round-Neck-Sweater-6990-752610003-1-catalog_m.jpg
"AJS Applique, Paisley, Geometric Print, Digital Prints Chanderi Chiffon, Georgette Saree(Red)",2999,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/j6zcwi80/sari/q/8/m/free-ch10-sgm-original-imaeue3x4jxun5nr.jpeg?q=90
Navy Blue Printed Sweater,2499,jabong,clothing & accessories,western wear,sweaters,Sweaters,5,,3 print,http://static4.jassets.com/p/Only-Navy-Blue-Printed-Sweater-7412-004377003-1-catalog_m.jpg
"Mrinalika Fashion Self Design, Geometric Print, Striped, Digital Prints Bollywood Crepe Saree(Red)",2899,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/j80icnk0/sari/q/v/3/free-crp10004-mrinalika-fashion-original-imaex9huvdvnbrrq.jpeg?q=90
Rajrang Beige Color Ethnic Wear Printed Cotton Kurta for Men,659,paytm,clothing & accessories,2 wear,kurtas,Kurtas,,festive,3 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPRAJRANG-BEIGRAJR201036066B2C4/1..jpg
"Mrinalika Fashion Self Design, Geometric Print, Striped, Digital Prints Kanjivaram Silk Saree(Pink, Blue)",3299,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/j80icnk0/sari/u/u/e/free-nvn2003-mrinalika-fashion-original-imaex9hjwnp7fwwg.jpeg?q=90
"SGM Paisley, Geometric Print, Digital Prints, Printed Fashion Art Silk, Silk Saree(Red)",1999,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/j7usl8w0/sari/6/y/6/free-rhytm1107-sgm-original-imaewydwdfwkujcg.jpeg?q=90
Flying Machine White T-Shirt,999,paytm,clothing & accessories,shirts,1 shirts,Tshirts,,1,3 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPFLYING-MACHICORA43662751DB25E0/1.jpg
"Swaron Graphic Print, Geometric Print, Striped, Printed Daily Wear Georgette Saree(Multicolor)",2299,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/sari/f/h/g/free-272sj416-varayu-original-imaery8krzdzqfck.jpeg?q=90
Alibi Women's Dress,999,paytm,clothing & accessories,western wear,dresses,Dresses,,1,3 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPALIBI-WOMEN-INMA3543747C86A26/0..jpg
Grey Printed Shrug,899,jabong,clothing & accessories,western wear,sweaters,Sweaters,5,,3 print,http://static4.jassets.com/p/The-Indian-Garage-Co--Grey-Printed-Shrug-9406-248857003-1-catalog_m.jpg
"Saara Striped, Geometric Print, Printed Assam Silk Cotton, Silk Saree(Multicolor)",1863,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/j20qv0w0/sari/w/q/t/1-free-315s601-saara-1-original-imaethyqwzggdttt.jpeg?q=90
ALCIS CORE SPORT TEE Red T-Shirts,699,paytm,clothing & accessories,t-shirts & polos,t-shirts,Active T-shirts,,,3 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPALCIS-CORE-SALCI3453556E6C7F0/0..jpg
Multicoloured Printed Slim Fit Casual Shirt,1999,jabong,clothing & accessories,shirts,1 shirts,Casual Shirts,5,,3 print,http://static1.jassets.com/p/U-S--Polo-Assn--Ivory-Printed-Slim-Fit-Casual-Shirt-2089-842178003-1-catalog_m.jpg
Blue Sweater,999,jabong,clothing & accessories,sweaters,pullovers,Winter Wear,acrylic,,3 print,http://static1.jassets.com/p/Yellow-Apple-Blue-Sweater-7759-648852003-1-catalog_m.jpg
DICY Women Black Wedges,1499,flipkart,shoes & handbags,shoes,women's shoes,DICY Wedges,,,3 print,https://rukminim1.flixcart.com/image/200/200/j7ksia80/sandal/p/2/z/sh-912-35-dicy-black-original-imaexjbgauufuhzt.jpeg?q=90
